Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,5.875000,5.875000,5.875000,5.875000,4.050402,35389440000
2000-01-04,5.550000,5.550000,5.550000,5.550000,3.826338,28861440000
2000-01-05,5.494000,5.494000,5.494000,5.494000,3.787730,43033600000
2000-01-06,5.475000,5.475000,5.475000,5.475000,3.774631,34055680000
2000-01-07,5.500000,5.500000,5.500000,5.500000,3.791866,20912640000
2000-01-10,5.613000,5.613000,5.613000,5.613000,3.869772,19563520000
2000-01-11,5.475000,5.475000,5.475000,5.475000,3.774631,23987200000
2000-01-12,5.483000,5.483000,5.483000,5.483000,3.780146,23301120000
2000-01-13,5.325000,5.325000,5.325000,5.325000,3.671216,26383360000
2000-01-14,5.400000,5.400000,5.400000,5.400000,3.722924,16657920000
2000-01-17,5.338000,5.338000,5.338000,5.338000,3.680179,16573440000
2000-01-18,5.363000,5.363000,5.363000,5.363000,3.697414,17925120000
2000-01-19,5.325000,5.325000,5.325000,5.325000,3.671216,38883840000
2000-01-20,5.313000,5.313000,5.313000,5.313000,3.662944,26268160000
2000-01-21,5.200000,5.200000,5.200000,5.200000,3.585038,17512960000
2000-01-24,5.163000,5.163000,5.163000,5.163000,3.559529,18385920000
2000-01-25,5.163000,5.163000,5.163000,5.163000,3.559529,0
2000-01-26,5.225000,5.225000,5.225000,5.225000,3.602273,25917440000
2000-01-27,5.188000,5.188000,5.188000,5.188000,3.576764,38379520000
2000-01-28,5.188000,5.188000,5.188000,5.188000,3.576764,17894400000
2000-01-31,5.101000,5.101000,5.101000,5.101000,3.516784,32266240000
2000-02-01,5.200000,5.200000,5.200000,5.200000,3.585038,23672320000
2000-02-02,5.300000,5.300000,5.300000,5.300000,3.653980,14272000000
2000-02-03,5.450000,5.450000,5.450000,5.450000,3.757395,25950720000
2000-02-04,5.588000,5.588000,5.588000,5.588000,3.852537,21199360000
2000-02-07,5.625000,5.625000,5.625000,5.625000,3.878045,20613120000
2000-02-08,5.750000,5.750000,5.750000,5.750000,3.964224,31498240000
2000-02-09,5.625000,5.625000,5.625000,5.625000,3.878045,15600640000
2000-02-10,5.463000,5.463000,5.463000,5.463000,3.766356,18600960000
2000-02-11,5.288000,5.288000,5.288000,5.288000,3.645707,25297920000
2000-02-14,5.213000,5.213000,5.213000,5.213000,3.593999,10119680000
2000-02-15,5.313000,5.313000,5.313000,5.313000,3.662944,33546240000
2000-02-16,5.738000,5.738000,5.738000,5.738000,3.955951,73564160000
2000-02-17,5.688000,5.688000,5.688000,5.688000,3.921479,21411840000
2000-02-18,5.563000,5.563000,5.563000,5.563000,3.835300,22484480000
2000-02-21,5.550000,5.550000,5.550000,5.550000,3.826338,18700800000
2000-02-22,5.525000,5.525000,5.525000,5.525000,3.809101,22474240000
2000-02-23,5.563000,5.563000,5.563000,5.563000,3.835300,20334080000
2000-02-24,5.713000,5.713000,5.713000,5.713000,3.938715,32931840000
2000-02-25,5.863000,5.863000,5.863000,5.863000,4.042129,36958720000
2000-02-28,5.750000,5.750000,5.750000,5.750000,3.964224,11596800000
2000-02-29,5.775000,5.775000,5.775000,5.775000,3.981460,24322560000
2000-03-01,5.875000,5.875000,5.875000,5.875000,4.050402,23828480000
2000-03-02,5.838000,5.838000,5.838000,5.838000,4.024895,24053760000
2000-03-03,6.038000,6.038000,6.038000,6.038000,4.162780,13217280000
2000-03-06,6.038000,6.038000,6.038000,6.038000,4.162780,0
2000-03-07,6.038000,6.038000,6.038000,6.038000,4.162780,0
2000-03-08,6.181000,6.181000,6.181000,6.181000,4.261369,8337920000
2000-03-09,6.399000,6.399000,6.399000,6.399000,4.411664,21578240000
2000-03-10,6.213000,6.213000,6.213000,6.213000,4.283429,14763520000
2000-03-13,6.213000,6.213000,6.213000,6.213000,4.283429,0
2000-03-14,5.813000,5.813000,5.813000,5.813000,4.007658,28421120000
2000-03-15,5.888000,5.888000,5.888000,5.888000,4.059365,25216000000
2000-03-16,5.925000,5.925000,5.925000,5.925000,4.084874,23298560000
2000-03-17,5.863000,5.863000,5.863000,5.863000,4.042129,18447360000
2000-03-20,5.688000,5.688000,5.688000,5.688000,3.921479,16012800000
2000-03-21,5.800000,5.800000,5.800000,5.800000,3.998696,25492480000
2000-03-22,5.814000,5.814000,5.814000,5.814000,4.008348,25113600000
2000-03-23,5.813000,5.813000,5.813000,5.813000,4.007658,26447360000
